Dosya,Yöntem,Entropy,Kontrast (Std),Renk Canlılığı,Kenar Yoğunluğu,Ort. Parlaklık,PSNR (dB),SSIM,İşlem Süresi (ms)
1400_2.png,DCP (Dark Channel Prior),7.6698,61.1962,91.2267,47.838,110.7208,20.1331,0.8949,125.19
1400_2.png,CLAHE (LAB),7.7458,55.7642,53.4184,65.7385,137.02,15.7397,0.7359,107.27
1400_2.png,"MSRCR (σ=[15,80,250])",7.3055,93.52,66.5274,81.4607,128.5863,13.3725,0.5913,2524.95
1400_6.png,DCP (Dark Channel Prior),7.6246,59.1222,91.6439,46.9758,113.9841,19.3742,0.8616,118.99
1400_6.png,CLAHE (LAB),7.6599,51.5789,46.6343,59.2688,146.8694,13.9095,0.7222,138.93
1400_6.png,"MSRCR (σ=[15,80,250])",7.3479,91.3099,72.5242,80.5378,128.3342,12.5725,0.5607,2658.4
1400_4.png,DCP (Dark Channel Prior),7.6452,60.191,91.4182,47.4424,112.2495,19.8255,0.8782,251.48
1400_4.png,CLAHE (LAB),7.7013,53.5778,49.7806,62.4142,141.9017,14.81,0.7299,139.56
1400_4.png,"MSRCR (σ=[15,80,250])",7.336,92.6258,69.875,81.4496,128.0873,12.9804,0.573,2621.04
1400_10.png,DCP (Dark Channel Prior),7.624,59.355,91.8198,47.5975,120.4108,18.505,0.8318,126.43
1400_10.png,CLAHE (LAB),7.5636,47.8444,41.3838,53.2475,157.1285,12.2053,0.7029,112.52
1400_10.png,"MSRCR (σ=[15,80,250])",7.3439,87.7879,75.9502,77.5518,130.4273,11.7868,0.543,2989.48
1400_1.png,DCP (Dark Channel Prior),7.6818,61.6438,91.1357,47.9933,110.0206,20.229,0.9032,129.45
1400_1.png,CLAHE (LAB),7.7683,56.886,55.4382,67.2977,134.5361,16.2515,0.7392,104.77
1400_1.png,"MSRCR (σ=[15,80,250])",7.2774,93.817,64.6232,81.0555,129.1442,13.5432,0.6014,3037.27
1400_9.png,DCP (Dark Channel Prior),7.6042,58.5322,91.8716,46.9283,117.8859,18.6655,0.8386,104.75
1400_9.png,CLAHE (LAB),7.5868,48.6559,42.5754,54.7235,154.5526,12.592,0.7078,110.46
1400_9.png,"MSRCR (σ=[15,80,250])",7.3455,88.7096,75.3042,78.3698,129.7803,11.9801,0.5467,2969.48
1400_8.png,DCP (Dark Channel Prior),7.6026,58.4032,91.8812,46.7875,116.1986,18.8424,0.8454,124.18
1400_8.png,CLAHE (LAB),7.6126,49.6232,43.8364,56.1993,151.9415,13.0062,0.7129,103.6
1400_8.png,"MSRCR (σ=[15,80,250])",7.3469,89.6254,74.5356,79.1893,129.1964,12.1754,0.5508,3411.52
1400_7.png,DCP (Dark Channel Prior),7.6136,58.7066,91.7438,46.8621,115.0026,19.1117,0.8533,124.28
1400_7.png,CLAHE (LAB),7.6358,50.5718,45.1845,57.7387,149.3442,13.4544,0.7178,99.53
1400_7.png,"MSRCR (σ=[15,80,250])",7.349,90.4995,73.6009,79.8806,128.704,12.3728,0.5557,3665.93
1400_5.png,DCP (Dark Channel Prior),7.6344,59.6517,91.5202,47.2131,113.087,19.6154,0.8697,121.32
1400_5.png,CLAHE (LAB),7.6797,52.5727,48.1478,60.816,144.4991,14.3292,0.7259,108.75
1400_5.png,"MSRCR (σ=[15,80,250])",7.3438,92.0083,71.2769,81.0582,128.1294,12.7757,0.566,3662.82
1401_1.png,DCP (Dark Channel Prior),7.5524,55.7278,92.6251,34.4662,92.303,20.7104,0.8983,127.23
1401_1.png,CLAHE (LAB),7.7099,55.985,64.5032,57.9387,123.1023,17.3245,0.7069,102.67
1401_1.png,"MSRCR (σ=[15,80,250])",7.1596,96.2408,63.7264,63.8206,132.7296,12.3877,0.5661,3675.9
1400_3.png,DCP (Dark Channel Prior),7.6569,60.7015,91.3072,47.6736,111.4297,19.9912,0.8863,115.16
1400_3.png,CLAHE (LAB),7.7244,54.6537,51.524,64.0824,139.3962,15.2912,0.7331,116.25
1400_3.png,"MSRCR (σ=[15,80,250])",7.3229,93.1273,68.2865,81.606,128.2342,13.1814,0.5817,3905.67
1401_2.png,DCP (Dark Channel Prior),7.5591,55.9692,92.9304,34.7433,93.2626,20.8527,0.8913,99.09
1401_2.png,CLAHE (LAB),7.6965,55.191,62.9607,57.0273,125.3594,16.8714,0.7037,5.33
1401_2.png,"MSRCR (σ=[15,80,250])",7.1915,96.0978,65.2701,64.0092,132.1457,12.3508,0.5603,1668.56
1401_6.png,DCP (Dark Channel Prior),7.5755,55.8094,94.1061,35.2494,96.7266,20.9077,0.8649,90.69
1401_6.png,CLAHE (LAB),7.6362,52.01,57.4849,53.2614,133.1174,15.1937,0.6928,5.23
1401_6.png,"MSRCR (σ=[15,80,250])",7.2695,95.3512,70.4536,63.6581,130.8094,12.0203,0.5352,1529.44
1401_3.png,DCP (Dark Channel Prior),7.5573,55.7358,93.2568,34.8012,93.8571,20.8703,0.8841,170.31
1401_3.png,CLAHE (LAB),7.6806,54.397,61.4849,56.0991,127.2232,16.4823,0.7012,7.09
1401_3.png,"MSRCR (σ=[15,80,250])",7.2206,95.9521,66.6855,64.1235,131.6637,12.2896,0.5532,1589.87
1401_4.png,DCP (Dark Channel Prior),7.5686,56.024,93.5324,35.0864,95.015,20.963,0.8778,100.53
