Dosya,Yöntem,Entropy,Kontrast (Std),Renk Canlılığı,Kenar Yoğunluğu,Ort. Parlaklık,PSNR (dB),SSIM,İşlem Süresi (ms)
0003_0.8_0.2.jpg,DCP (Dark Channel Prior),7.206,41.8012,83.6489,45.1732,99.3395,17.7046,0.851,69.62
0003_0.8_0.2.jpg,CLAHE (LAB),6.963,36.2137,30.5997,51.9826,154.5761,18.5606,0.8969,111.11
0003_0.8_0.2.jpg,"MSRCR (σ=[15,80,250])",7.3107,74.7517,53.4078,85.057,138.9706,14.4553,0.6764,1220.79
0016_0.8_0.08.jpg,DCP (Dark Channel Prior),7.7727,60.9914,89.8719,95.4363,103.1721,15.6089,0.864,95.98
0016_0.8_0.08.jpg,CLAHE (LAB),7.7356,59.6802,31.2561,127.99,141.2204,18.0976,0.8349,100.6
0016_0.8_0.08.jpg,"MSRCR (σ=[15,80,250])",6.955,91.1052,39.0633,162.6743,135.888,15.61,0.6817,1977.04
0002_0.8_0.08.jpg,DCP (Dark Channel Prior),7.3338,60.7047,61.6574,47.394,73.8246,14.6851,0.7848,103.49
0002_0.8_0.08.jpg,CLAHE (LAB),7.5537,57.9897,17.1943,84.9578,135.0463,17.4747,0.7601,113.96
0002_0.8_0.08.jpg,"MSRCR (σ=[15,80,250])",6.192,103.0897,22.0155,137.44,123.797,14.256,0.5485,2052.87
0011_0.95_0.16.jpg,DCP (Dark Channel Prior),7.1342,69.056,43.2136,33.4742,68.6015,18.656,0.8832,102.96
0011_0.95_0.16.jpg,CLAHE (LAB),7.4585,55.5612,14.6909,51.6166,137.2111,12.3018,0.6216,121.11
0011_0.95_0.16.jpg,"MSRCR (σ=[15,80,250])",5.8723,100.1914,16.3727,85.1004,124.7328,12.2271,0.5174,2012.69
0009_0.8_0.16.jpg,DCP (Dark Channel Prior),7.2582,45.9273,60.61,62.5075,88.0433,18.1995,0.8981,97.79
0009_0.8_0.16.jpg,CLAHE (LAB),7.6487,51.0979,39.2858,98.6849,137.7191,15.0904,0.7926,114.62
0009_0.8_0.16.jpg,"MSRCR (σ=[15,80,250])",7.354,79.8735,94.1065,139.2632,132.7507,13.2433,0.5759,2106.82
0010_0.95_0.16.jpg,DCP (Dark Channel Prior),7.261,56.8927,22.7101,59.5296,72.6382,20.6466,0.917,92.83
0010_0.95_0.16.jpg,CLAHE (LAB),7.5764,50.716,11.1875,77.4974,136.2696,12.5041,0.695,135.59
0010_0.95_0.16.jpg,"MSRCR (σ=[15,80,250])",6.9592,87.0326,34.8759,120.283,125.616,12.3112,0.534,2107.26
0004_0.9_0.12.jpg,DCP (Dark Channel Prior),7.3691,53.3598,109.3038,108.3691,138.7482,13.3151,0.8573,98.86
0004_0.9_0.12.jpg,CLAHE (LAB),7.4245,54.0037,42.1132,133.296,170.1312,19.6728,0.8694,89.35
0004_0.9_0.12.jpg,"MSRCR (σ=[15,80,250])",7.209,71.5817,49.7856,174.3285,143.515,13.3381,0.7618,2590.55
0006_0.85_0.08.jpg,DCP (Dark Channel Prior),7.7329,61.8409,101.5912,65.2796,98.3582,14.4276,0.8545,97.12
0006_0.85_0.08.jpg,CLAHE (LAB),7.6839,61.6428,33.102,102.2817,145.6354,16.6405,0.7782,111.31
0006_0.85_0.08.jpg,"MSRCR (σ=[15,80,250])",6.8759,96.8102,48.1138,133.033,137.8655,16.2187,0.6726,2590.81
0001_0.8_0.2.jpg,DCP (Dark Channel Prior),7.6063,51.2777,93.8365,113.9285,127.2105,20.1496,0.9017,96.78
0001_0.8_0.2.jpg,CLAHE (LAB),7.609,52.4454,32.331,130.9892,147.0379,21.1082,0.9244,120.65
0001_0.8_0.2.jpg,"MSRCR (σ=[15,80,250])",7.1172,81.4924,70.0382,199.8875,133.2572,15.7818,0.7176,2549.85
0014_0.8_0.12.jpg,DCP (Dark Channel Prior),7.2792,55.354,20.4409,49.33,82.0786,14.6067,0.7888,89.36
0014_0.8_0.12.jpg,CLAHE (LAB),7.3468,51.385,8.3232,78.9144,145.6588,17.443,0.844,167.78
0014_0.8_0.12.jpg,"MSRCR (σ=[15,80,250])",6.3723,93.6459,26.594,129.2828,131.2932,15.0116,0.6104,2690.37
0007_0.9_0.16.jpg,DCP (Dark Channel Prior),7.0265,53.4468,19.02,40.201,70.2731,16.5901,0.8534,81.06
0007_0.9_0.16.jpg,CLAHE (LAB),7.3435,47.3687,9.5719,67.5176,146.1925,13.4038,0.7283,117.05
0007_0.9_0.16.jpg,"MSRCR (σ=[15,80,250])",6.7822,83.2155,30.3866,112.2158,131.647,13.5012,0.5465,2767.72
0022_0.8_0.08.jpg,DCP (Dark Channel Prior),7.5541,52.9904,47.539,56.9566,93.3664,11.509,0.7377,54.08
